,miR-10-5p,miR-135ab-5p,miR-218-5p,miR-190-5p,miR-193-3p,miR-33-5p,miR-182-5p,miR-362-5p,miR-23-3p,miR-18-5p,miR-18-3p/7069-3p,miR-194-2-3p/6926-5p/7055-5p,miR-130-3p/301-3p,miR-103-3p/107-3p,miR-205-5p,miR-183-3p,miR-7-5p,miR-423-3p,miR-501-5p,miR-185-5p,miR-423-5p,miR-26-5p,miR-147-3p,miR-484,miR-378-3p,miR-22-3p,miR-652-3p,miR-374b-5p,miR-210-3p,miR-194-5p,miR-192-5p/215-5p,miR-196-5p,miR-324-3p,miR-27-3p,miR-141-3p,miR-1198-5p,miR-19-3p,miR-183-5p,let-7-5p/miR-98-5p,miR-200-3p/429-3p,miR-3081-3p,miR-125ab-5p/351-5p,miR-28-3p,miR-181-5p,miR-151-3p,miR-24-3p,miR-96-5p,miR-186-5p,miR-425-5p/489-3p,miR-17-5p/20-5p/93-5p/106-5p,miR-21ac-5p,miR-15-5p/16-5p/195-5p/322-5p/497-5p,miR-25-3p/32-5p/92-3p/363-3p/367-3p,miR-141-5p/6769b-3p,miR-16-1-3p,miR-200ab-5p,miR-191-5p,miR-221-3p/222-3p,miR-139-5p,miR-140-5p,miR-139-3p,miR-30-5p/384-5p,miR-340-5p,miR-181a-1-3p/181c-3p,miR-34-5p/449-5p,miR-106-3p,miR-671-5p,miR-30a-3p/30d-3p/30e-3p,miR-29-3p,miR-345-5p,miR-328-3p,miR-361-5p,let-7d-3p,miR-375-3p,miR-148-3p/152-3p,miR-153-3p,miR-146ab-5p,miR-31-5p,miR-132-3p/212-3p,miR-99-5p/100-5p,miR-28-5p/708-5p
201,,,,,,,,,USP53,,,,,TP53INP2,,,,,,,,RPL27A,,,,,,,,CD44,,SMARCA4,,FAM8A1,,,NCKAP1,,ACVR1,UTRN,,,,,,NAA40,,,,IRF1,,ANKRD28,,,,,,,,,,,,,,,,,ITGA3,,,,,,,,,,,,
202,,,,,,,,,PDLIM5,,,,,ATP5C1,,,,,,,,ANKS4B,,,,,,,,TMEM87A,,ALG9,,ERAP1,,,NHLRC3,,RBMS1,UNC5B,,,,,,SLC3A2,,,,CTDNEP1,,LAPTM4B,,,,,,,,,,,,,,,,,TOP2A,,,,,,,,,,,,
203,,,,,,,,,TP53INP1,,,,,ATP5G3,,,,,,,,CEACAM1,,,,,,,,ADNP,,RDX,,SRD5A1,,,SLC30A7,,FASTKD1,HNRNPH3,,,,,,NDUFB8,,,,ANKFY1,,ZHX2,,,,,,,,,,,,,,,,,ETV4,,,,,,,,,,,,
204,,,,,,,,,MTF1,,,,,CTNND1,,,,,,,,NADSYN1,,,,,,,,ZC2HC1A,,IGDCC4,,TKT,,,CASZ1,,NCKAP1,UBE2D1,,,,,,FAM171A1,,,,SLC25A10,,RNF139,,,,,,,,,,,,,,,,,PRPSAP1,,,,,,,,,,,,
205,,,,,,,,,TOX,,,,,E2F1,,,,,,,,VPS36,,,,,,,,PLD1,,MYO6,,ADAMDEC1,,,SLC25A51,,PTPRJ,DGKA,,,,,,TOR2A,,,,ASPSCR1,,TIGD5,,,,,,,,,,,,,,,,,FAM110C,,,,,,,,,,,,
206,,,,,,,,,RPS6KA1,,,,,HELZ2,,,,,,,,MYO9B,,,,,,,,TSC22D2,,CTSH,,UBXN7,,,EPB41L4B,,TTC17,EGFR,,,,,,FAM129B,,,,KDM6B,,BIK,,,,,,,,,,,,,,,,,FOS,,,,,,,,,,,,
207,,,,,,,,,RNF4,,,,,OTUD7B,,,,,,,,PRKACA,,,,,,,,TPM3,,SLCO2A1,,CBLB,,,MACF1,,EHF,RTN4,,,,,,SPINT1,,,,TMEM97,,PIM3,,,,,,,,,,,,,,,,,PAPOLA,,,,,,,,,,,,
208,,,,,,,,,CCNG2,,,,,PPP3CA,,,,,,,,LONP2,,,,,,,,S100A14,,ASTE1,,LIPH,,,LDLRAP1,,FBN1,PPP2CA,,,,,,SGK2,,,,MYO1D,,ACVR1B,,,,,,,,,,,,,,,,,HECTD1,,,,,,,,,,,,
209,,,,,,,,,BLOC1S4,,,,,EFNA1,,,,,,,,NLRC5,,,,,,,,MTMR11,,HYAL2,,ATP13A3,,,REST,,PLAGL2,NUFIP2,,,,,,NCOA3,,,,TOM1L1,,SLC39A4,,,,,,,,,,,,,,,,,HEATR5A,,,,,,,,,,,,
210,,,,,,,,,TES,,,,,NFIA,,,,,,,,CYB5B,,,,,,,,TPD52,,SMARCC1,,ALCAM,,,TAOK3,,SKIL,HNF1B,,,,,,OGFR,,,,PLEKHM1,,CELSR1,,,,,,,,,,,,,,,,,RAB15,,,,,,,,,,,,
211,,,,,,,,,GPRC5A,,,,,SCMH1,,,,,,,,ZFP1,,,,,,,,FAM160A1,,SLC37A2,,HLA-A,,,GIGYF1,,CCT3,ACACA,,,,,,SURF4,,,,ERN1,,ADCY6,,,,,,,,,,,,,,,,,SPTLC2,,,,,,,,,,,,
212,,,,,,,,,MXD1,,,,,UBR4,,,,,,,,B3GNT3,,,,,,,,CHTOP,,HMBS,,SRPK1,,,GDPGP1,,ARHGEF2,SPAG9,,,,,,PTPRJ,,,,BPTF,,ARF3,,,,,,,,,,,,,,,,,CCDC88C,,,,,,,,,,,,
213,,,,,,,,,LRIG1,,,,,ASPH,,,,,,,,GLG1,,,,,,,,HIPK1,,CUL5,,HLA-A,,,RRAS2,,ANP32E,PPP1R9B,,,,,,EHF,,,,PRPF39,,KMT2D,,,,,,,,,,,,,,,,,JARID2,,,,,,,,,,,,
214,,,,,,,,,RET,,,,,RNF38,,,,,,,,UBE2Q2,,,,,,,,FAM102B,,NBEAL2,,SNRPD1,,,EIF3C,,CSDE1,RNF213,,,,,,DUOX2,,,,GREB1,,SPRYD3,,,,,,,,,,,,,,,,,SLC9A3,,,,,,,,,,,,
215,,,,,,,,,LRRK1,,,,,LPAR1,,,,,,,,HERPUD2,,,,,,,,ADGRL2,,MED14,,TAF4B,,,URB2,,SASS6,TUG1,,,,,,TRPC4AP,,,,RALGAPA1,,SMIM22,,,,,,,,,,,,,,,,,HMGCS1,,,,,,,,,,,,
216,,,,,,,,,ABHD17C,,,,,NFIB,,,,,,,,MYZAP,,,,,,,,RAD23B,,HCFC1,,ARHGAP12,,,MTUS1,,PAG1,MDH1,,,,,,PMEPA1,,,,MAP3K9,,LPP,,,,,,,,,,,,,,,,,LRRC16A,,,,,,,,,,,,
217,,,,,,,,,ATE1,,,,,THRAP3,,,,,,,,DDX3X,,,,,,,,TMEM234,,COPA,,CD274,,,IFI30,,CCNA2,B3GNT2,,,,,,MGST2,,,,GDI2,,PARP9,,,,,,,,,,,,,,,,,SERPINB1,,,,,,,,,,,,
218,,,,,,,,,CC2D1A,,,,,GJB3,,,,,,,,CSTF2,,,,,,,,TOX,,IPMK,,PTEN,,,GNAI2,,NHLRC3,SPTBN1,,,,,,SLC39A1,,,,ARID4B,,KPNA1,,,,,,,,,,,,,,,,,SLC35B3,,,,,,,,,,,,
219,,,,,,,,,CMTM4,,,,,DDI2,,,,,,,,SMC1A,,,,,,,,PTBP3,,MCU,,CNTRL,,,MPV17L2,,UBAP2L,SEC24A,,,,,,S100A11,,,,CAMLG,,ANKS3,,,,,,,,,,,,,,,,,TOP2B,,,,,,,,,,,,
220,,,,,,,,,HMGCLL1,,,,,UBE4B,,,,,,,,,,,,,,,,DOCK7,,G3BP1,,GCA,,,,,SETDB1,HSPA4,,,,,,SLC39A8,,,,HOMER1,,LITAF,,,,,,,,,,,,,,,,,RPS24,,,,,,,,,,,,
221,,,,,,,,,SLC25A36,,,,,B3GALT6,,,,,,,,,,,,,,,,BTBD19,,CASC3,,CELF1,,,,,TMEM56,KDM6B,,,,,,GBP5,,,,FAM208B,,EHHADH,,,,,,,,,,,,,,,,,LRP10,,,,,,,,,,,,
222,,,,,,,,,GPC4,,,,,ATP2A2,,,,,,,,,,,,,,,,RLF,,YPEL2,,TMEM87B,,,,,ADGRL2,TMEM97,,,,,,TPD52,,,,ROR2,,APP,,,,,,,,,,,,,,,,,UBE2E2,,,,,,,,,,,,
223,,,,,,,,,MAGT1,,,,,TES,,,,,,,,,,,,,,,,AGO1,,GOLM1,,ARHGAP21,,,,,TP53INP1,VMP1,,,,,,MECOM,,,,ZCCHC6,,TMPRSS2,,,,,,,,,,,,,,,,,GMFB,,,,,,,,,,,,
224,,,,,,,,,MYL6B,,,,,ING4,,,,,,,,,,,,,,,,HDAC1,,FLNB,,SLC25A25,,,,,MDN1,CLTC,,,,,,SEMA4A,,,,FAM208A,,HLA-A,,,,,,,,,,,,,,,,,ZNF219,,,,,,,,,,,,
225,,,,,,,,,COL1A2,,,,,MUC2,,,,,,,,,,,,,,,,DDI2,,NGDN,,BAZ2B,,,,,TGFBR1,ACLY,,,,,,CHTOP,,,,SOCS4,,TRIP10,,,,,,,,,,,,,,,,,TM9SF1,,,,,,,,,,,,
226,,,,,,,,,,,,,,UBA2,,,,,,,,,,,,,,,,KIF1B,,TRABD,,EHF,,,,,PAPPA,ATXN7L3,,,,,,ATP1A1,,,,RNASE4,,IGF2R,,,,,,,,,,,,,,,,,ADAMDEC1,,,,,,,,,,,,
227,,,,,,,,,,,,,,FTO,,,,,,,,,,,,,,,,ARMC10,,DAZAP2,,STAU1,,,,,USP24,NSF,,,,,,USP53,,,,FHIT,,DLL1,,,,,,,,,,,,,,,,,OXCT1,,,,,,,,,,,,
228,,,,,,,,,,,,,,CMIP,,,,,,,,,,,,,,,,KMT2E,,SCRIB,,TXNIP,,,,,TTC39A,SLC39A11,,,,,,UNC13B,,,,EXOC5,,TFF3,,,,,,,,,,,,,,,,,GRHL2,,,,,,,,,,,,
229,,,,,,,,,,,,,,GALNT7,,,,,,,,,,,,,,,,SRSF9,,LPP,,SLC25A24,,,,,FAF1,ARHGDIA,,,,,,SLC44A1,,,,DOCK5,,RNF125,,,,,,,,,,,,,,,,,BIK,,,,,,,,,,,,
230,,,,,,,,,,,,,,LDLR,,,,,,,,,,,,,,,,BAZ1B,,PARP14,,FAM160A1,,,,,ATPAF1,PAPOLA,,,,,,DENND4C,,,,SEMA5A,,GRAMD3,,,,,,,,,,,,,,,,,C1QTNF6,,,,,,,,,,,,
231,,,,,,,,,,,,,,MYO5C,,,,,,,,,,,,,,,,ARPC1A,,ZNF516,,DHCR24,,,,,GALE,SPTSSA,,,,,,DHCR24,,,,OSMR,,MYO5B,,,,,,,,,,,,,,,,,ADCY6,,,,,,,,,,,,
232,,,,,,,,,,,,,,AMOTL2,,,,,,,,,,,,,,,,PAN3,,EIF3A,,PIK3R3,,,,,TCEA3,MLH3,,,,,,LUZP1,,,,POLQ,,HSPA9,,,,,,,,,,,,,,,,,KMT2D,,,,,,,,,,,,
233,,,,,,,,,,,,,,EI24,,,,,,,,,,,,,,,,ZNF644,,KIAA1217,,DCAF12,,,,,PLA2G2A,NEK9,,,,,,UBR4,,,,DCBLD2,,DIAPH1,,,,,,,,,,,,,,,,,IFNGR2,,,,,,,,,,,,
234,,,,,,,,,,,,,,COL12A1,,,,,,,,,,,,,,,,NCOR2,,DSTN,,RASEF,,,,,EPHA2,SPTLC2,,,,,,UBAP2,,,,WRB,,FEM1C,,,,,,,,,,,,,,,,,B3GALT5,,,,,,,,,,,,
235,,,,,,,,,,,,,,NBEAL2,,,,,,,,,,,,,,,,GTF2I,,SELT,,FOXD2,,,,,ESRP1,NSD1,,,,,,ZCCHC17,,,,LIPH,,SMAD4,,,,,,,,,,,,,,,,,ADPRH,,,,,,,,,,,,
236,,,,,,,,,,,,,,UBA1,,,,,,,,,,,,,,,,TES,,ANP32B,,TSPAN1,,,,,RIPK2,LGALS8,,,,,,NRBP1,,,,SIDT1,,AP5B1,,,,,,,,,,,,,,,,,LTN1,,,,,,,,,,,,
237,,,,,,,,,,,,,,FHL1,,,,,,,,,,,,,,,,CPED1,,SLC9A1,,MFN2,,,,,SIGMAR1,NUP153,,,,,,CD38,,,,APP,,SYVN1,,,,,,,,,,,,,,,,,AGPAT4,,,,,,,,,,,,
238,,,,,,,,,,,,,,REPS2,,,,,,,,,,,,,,,,SND1,,UBAP2,,STEAP4,,,,,FAM214B,KIF13A,,,,,,CDS1,,,,SMOC2,,MINPP1,,,,,,,,,,,,,,,,,SPAST,,,,,,,,,,,,
239,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,TAX1BP1,,PQLC2,,ANAPC7,,,,,PTPN3,UBQLN1,,,,,,MLXIP,,,,CDKN1A,,SLC35G1,,,,,,,,,,,,,,,,,BIRC6,,,,,,,,,,,,
240,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CCSER1,,SBNO1,,PDS5B,,,,,AKNA,OCLN,,,,,,SETD8,,,,NEU1,,WBP1L,,,,,,,,,,,,,,,,,TFF3,,,,,,,,,,,,
241,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,GNG12,,CASP2,,BLOC1S4,,,,,LRRC19,ADK,,,,,,FIS1,,,,CAMKMT,,SLK,,,,,,,,,,,,,,,,,KLHDC3,,,,,,,,,,,,
242,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,TMEM43,,PLEKHG2,,ANKRD17,,,,,DMAP1,AP5M1,,,,,,TSC22D4,,,,NUDT3,,SHOC2,,,,,,,,,,,,,,,,,CXXC5,,,,,,,,,,,,
243,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,GOLT1B,,ZFP36,,VPS33A,,,,,MACF1,PRKCD,,,,,,ZNF12,,,,BTBD9,,TCF7L2,,,,,,,,,,,,,,,,,TCERG1,,,,,,,,,,,,
244,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,UBE2H,,LRRK1,,SETD5,,,,,XKR8,BMPR1A,,,,,,TRRAP,,,,RAB11B,,EHBP1L1,,,,,,,,,,,,,,,,,LMNB1,,,,,,,,,,,,
245,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ATP6V1E1,,DGAT2,,DDX47,,,,,PQLC2,RICTOR,,,,,,PPM1G,,,,XDH,,GDA,,,,,,,,,,,,,,,,,ATP8B1,,,,,,,,,,,,
246,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,FCGBP,,USP38,,HIPK2,,,,,DDI2,TNFRSF11B,,,,,,NELFA,,,,MEMO1,,PIP5K1B,,,,,,,,,,,,,,,,,AHNAK,,,,,,,,,,,,
247,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,KLK1,,USP3,,TET3,,,,,EFHD2,DERL1,,,,,,FBXL5,,,,TNFAIP8,,SORBS1,,,,,,,,,,,,,,,,,SLK,,,,,,,,,,,,
248,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,FAR1,,ATP1B3,,NDUFA3,,,,,TNFRSF1B,RACGAP1,,,,,,HPSE,,,,CSNK1A1,,STAM,,,,,,,,,,,,,,,,,TCF7L2,,,,,,,,,,,,
249,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,FUT2,,,,BBC3,,,,,UBE4B,WRB,,,,,,OAS3,,,,TCF4,,PRRC2B,,,,,,,,,,,,,,,,,NEAT1,,,,,,,,,,,,
250,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,SORBS2,,,,CLDND2,,,,,AGRN,CREBBP,,,,,,TTYH3,,,,AQP4,,HSPA5,,,,,,,,,,,,,,,,,NAA40,,,,,,,,,,,,
251,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CHD9,,,,NOSIP,,,,,DEPDC5,DGCR8,,,,,,TRBC2,,,,ATG2A,,MBD5,,,,,,,,,,,,,,,,,PDLIM1,,,,,,,,,,,,
252,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,NFATC3,,,,EIF3F,,,,,EREG,SEPT5,,,,,,ZYX,,,,KLF9,,ARHGAP1,,,,,,,,,,,,,,,,,SORBS1,,,,,,,,,,,,
253,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CDH1,,,,CTR9,,,,,PCGF3,ATP13A3,,,,,,AOC1,,,,VLDLR,,HNF4A,,,,,,,,,,,,,,,,,SPTAN1,,,,,,,,,,,,
254,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,GNPAT,,,,HSPBP1,,,,,IDUA,BRWD1,,,,,,FAM136A,,,,IFIT1,,ZDHHC12,,,,,,,,,,,,,,,,,FAM102A,,,,,,,,,,,,
255,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,HGSNAT,,,,ZFP36,,,,,TPST2,ATP6V0E1,,,,,,TPI1,,,,PCGF5,,FPGS,,,,,,,,,,,,,,,,,TP53INP2,,,,,,,,,,,,
256,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,B3GNT3,,,,KNOP1,,,,,OASL,FKBP5,,,,,,NOVA2,,,,SHOC2,,FASTKD1,,,,,,,,,,,,,,,,,PIGT,,,,,,,,,,,,
257,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ANKRD11,,,,ALDOA,,,,,SLC8B1,CDC5L,,,,,,SERTAD1,,,,STIP1,,HSD17B12,,,,,,,,,,,,,,,,,SURF4,,,,,,,,,,,,
258,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ZPR1,,,,DEAF1,,,,,P2RX4,DSG2,,,,,,CTU1,,,,BLNK,,SPPL2A,,,,,,,,,,,,,,,,,RND3,,,,,,,,,,,,
259,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CLPX,,,,MTMR7,,,,,AACS,SLC12A2,,,,,,NOSIP,,,,FAM204A,,RRBP1,,,,,,,,,,,,,,,,,ATP5G3,,,,,,,,,,,,
260,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,SENP6,,,,N4BP1,,,,,LRCH4,TCF4,,,,,,SEMA4B,,,,TOR1B,,SERINC3,,,,,,,,,,,,,,,,,MALL,,,,,,,,,,,,
261,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ZNF778,,,,CMTM4,,,,,TRRAP,MBP,,,,,,UBFD1,,,,FAM102A,,RNF13,,,,,,,,,,,,,,,,,FERMT1,,,,,,,,,,,,
262,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,TLN2,,,,CFDP1,,,,,FRY,CCNY,,,,,,AQP8,,,,DAB2IP,,S100A14,,,,,,,,,,,,,,,,,TGM2,,,,,,,,,,,,
263,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,NCK1,,,,DDX6,,,,,NELFA,VLDLR,,,,,,CCDC9,,,,TNKS1BP1,,MCL1,,,,,,,,,,,,,,,,,ZMYND8,,,,,,,,,,,,
264,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,USP9X,,,,DOPEY1,,,,,SH3TC1,ATRNL1,,,,,,QPCTL,,,,RTF1,,CSDE1,,,,,,,,,,,,,,,,,CSDE1,,,,,,,,,,,,
265,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,MCTS1,,,,SLCO2A1,,,,,SEL1L3,MALAT1,,,,,,PVRL2,,,,TP53INP2,,NRAS,,,,,,,,,,,,,,,,,SLC25A24,,,,,,,,,,,,
266,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,DUSP9,,,,PFKFB4,,,,,CNOT6L,TLE4,,,,,,SPINT2,,,,ROMO1,,GSTM5,,,,,,,,,,,,,,,,,DBT,,,,,,,,,,,,
267,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,EMD,,,,DNMT1,,,,,FBRSL1,ACTR1A,,,,,,RBM42,,,,IFIH1,,SLC25A24,,,,,,,,,,,,,,,,,CCNL1,,,,,,,,,,,,
268,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AMER1,,,,TMA7,,,,,CORO1C,USP6NL,,,,,,TJP1,,,,TLK1,,PHC3,,,,,,,,,,,,,,,,,TRIM2,,,,,,,,,,,,
269,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,APEX2,,,,PDHA1,,,,,KCTD10,LRRC8A,,,,,,CAPN5,,,,NCKAP1,,EFNA1,,,,,,,,,,,,,,,,,PTGFRN,,,,,,,,,,,,
270,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,MSL3,,,,OR2V1,,,,,ATP2A2,MBD5,,,,,,TSKU,,,,ZNF770,,S100A1,,,,,,,,,,,,,,,,,RBM15,,,,,,,,,,,,
271,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ELK4,,,,,,,,,GUSB,CERS6,,,,,,DGAT2,,,,DUOX2,,MAN1A2,,,,,,,,,,,,,,,,,SARS,,,,,,,,,,,,
272,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,IVNS1ABP,,,,,,,,,LRWD1,ITGA6,,,,,,RHOG,,,,PLAGL2,,STRIP1,,,,,,,,,,,,,,,,,OSTC,,,,,,,,,,,,
273,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,F11R,,,,,,,,,ACTB,YWHAB,,,,,,PRSS8,,,,E2F1,,UBE2J1,,,,,,,,,,,,,,,,,CISD2,,,,,,,,,,,,
274,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,JMJD1C,,,,,,,,,EXOC4,ZSWIM3,,,,,,PHLDA2,,,,DIDO1,,STX17,,,,,,,,,,,,,,,,,RAP1GDS1,,,,,,,,,,,,
275,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,OSBPL8,,,,,,,,,CHN2,RBM38,,,,,,CTTN,,,,SKIL,,PLPP3,,,,,,,,,,,,,,,,,ZCCHC11,,,,,,,,,,,,
276,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ABRACL,,,,,,,,,GARS,DNAJC5,,,,,,CDC16,,,,ARHGEF26,,MTHFR,,,,,,,,,,,,,,,,,SFPQ,,,,,,,,,,,,
277,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ZCCHC10,,,,,,,,,AAK1,SURF4,,,,,,MRPS31,,,,GON4L,,RERE,,,,,,,,,,,,,,,,,TMEM54,,,,,,,,,,,,
278,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,TSR1,,,,,,,,,CMAS,RBMS1,,,,,,TNPO2,,,,SEC22B,,TSPAN1,,,,,,,,,,,,,,,,,YARS,,,,,,,,,,,,
279,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,PNPLA8,,,,,,,,,SLC25A13,ATF2,,,,,,MAN2B1,,,,SIKE1,,RCC1,,,,,,,,,,,,,,,,,BSDC1,,,,,,,,,,,,
280,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,FAM84A,,,,,,,,,TET3,BLCAP,,,,,,CPNE2,,,,PDE5A,,KIF1B,,,,,,,,,,,,,,,,,ZNF436,,,,,,,,,,,,
281,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,TRIB2,,,,,,,,,MXD1,MTFR1,,,,,,PDP2,,,,RAPGEF2,,SRI,,,,,,,,,,,,,,,,,LUZP1,,,,,,,,,,,,
282,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,MRPL36,,,,,,,,,PLXNA1,MYNN,,,,,,CHMP1A,,,,CAPZB,,ABCB1,,,,,,,,,,,,,,,,,RCC2,,,,,,,,,,,,
283,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,TNPO1,,,,,,,,,PTMS,CERS2,,,,,,COX5A,,,,EPB41L4B,,PCGF3,,,,,,,,,,,,,,,,,EPHA2,,,,,,,,,,,,
284,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,SEPP1,,,,,,,,,NCAPD2,DBT,,,,,,SEMA7A,,,,NFIB,,TPST2,,,,,,,,,,,,,,,,,KLF4,,,,,,,,,,,,
285,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,FBXL6,,,,,,,,,ERCC2,MECOM,,,,,,SMARCC1,,,,MLLT3,,GIGYF1,,,,,,,,,,,,,,,,,EPB41L4B,,,,,,,,,,,,
286,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,SLC38A2,,,,,,,,,B9D2,EFNA1,,,,,,AP1M2,,,,CYP2J2,,TRRAP,,,,,,,,,,,,,,,,,PTBP3,,,,,,,,,,,,
287,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,LPP,,,,,,,,,SERTAD1,PIP5K1A,,,,,,SORL1,,,,OSBPL9,,NELFA,,,,,,,,,,,,,,,,,TSPAN1,,,,,,,,,,,,
288,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,PARP14,,,,,,,,,IGF1R,ATP1A1,,,,,,TRAPPC4,,,,MAST2,,NOP14,,,,,,,,,,,,,,,,,MACF1,,,,,,,,,,,,
289,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CD2AP,,,,,,,,,AKAP13,TET2,,,,,,SIDT2,,,,SESN2,,LCORL,,,,,,,,,,,,,,,,,PHACTR4,,,,,,,,,,,,
290,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,TMEM173,,,,,,,,,GDPGP1,DENND4C,,,,,,MT-ND5,,,,PPP1R8,,SDAD1,,,,,,,,,,,,,,,,,LDLRAP1,,,,,,,,,,,,
291,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,SEMA6A,,,,,,,,,LIPT2,AK4,,,,,,DDX3X,,,,NRBP1,,SCARB2,,,,,,,,,,,,,,,,,EPHB2,,,,,,,,,,,,
292,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,SYVN1,,,,,,,,,ARAP1,PLPP3,,,,,,VSIG1,,,,ANAPC4,,ANTXR2,,,,,,,,,,,,,,,,,CDC42,,,,,,,,,,,,
293,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,RIC1,,,,,,,,,PGAP2,SRSF10,,,,,,AGFG1,,,,NIPAL1,,SEC31A,,,,,,,,,,,,,,,,,UBE4B,,,,,,,,,,,,
294,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,PTEN,,,,,,,,,AMPD3,ERRFI1,,,,,,PHF3,,,,SLC4A4,,RNF10,,,,,,,,,,,,,,,,,NRBP1,,,,,,,,,,,,
295,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ITGA6,,,,,,,,,FAR1,RPS20,,,,,,TGFBRAP1,,,,EREG,,TPCN1,,,,,,,,,,,,,,,,,PPP1CB,,,,,,,,,,,,
296,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,RPS21,,,,,,,,,MUC2,IMPAD1,,,,,,USP37,,,,TBX3,,ATP2A2,,,,,,,,,,,,,,,,,N4BP2,,,,,,,,,,,,
297,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ZMYND8,,,,,,,,,KMT2B,B4GALT1,,,,,,MDM4,,,,GLT1D1,,ELN,,,,,,,,,,,,,,,,,REST,,,,,,,,,,,,
298,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,RNF13,,,,,,,,,DGAT2,LPAR1,,,,,,BTG2,,,,LMTK2,,AVL9,,,,,,,,,,,,,,,,,TPST2,,,,,,,,,,,,
299,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,PPM1L,,,,,,,,,IL18BP,PTBP3,,,,,,OSTM1,,,,DMTF1,,HERC3,,,,,,,,,,,,,,,,,CHIC2,,,,,,,,,,,,
300,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,SLC33A1,,,,,,,,,RHOG,SLC35D1,,,,,,HACE1,,,,NUP54,,MTMR14,,,,,,,,,,,,,,,,,SDAD1,,,,,,,,,,,,
301,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,TET2,,,,,,,,,PPP4C,RCAN3,,,,,,PTBP1,,,,MCM7,,MLF2,,,,,,,,,,,,,,,,,EP400,,,,,,,,,,,,
302,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,EIF4G3,,,,,,,,,DUSP8,LYPLA2,,,,,,SBNO2,,,,RNF216,,CLEC2D,,,,,,,,,,,,,,,,,TPCN1,,,,,,,,,,,,
